Id,SalePrice
1461,123240.5
1462,153500.75
1463,171696.84
1464,174910.82
1465,196335.4
1466,174171.69
1467,165066.75
1468,168178.32
1469,178852.87
1470,120023.0
1471,198502.22
1472,92928.5
1473,96400.5
1474,151981.52
1475,145667.84
1476,402595.57
1477,247941.07
1478,307213.36
1479,245345.93
1480,444255.58
1481,311834.73
1482,206836.88
1483,174502.37
1484,179439.48
1485,166103.88
1486,192057.4
1487,332855.69
1488,240106.81
1489,215727.83
1490,201222.0
1491,186043.85
1492,106699.93
1493,171576.0
1494,293901.92
1495,297358.96
1496,228985.92
1497,194459.93
1498,151628.87
1499,150384.9
1500,147136.76
1501,174282.99
1502,164840.54
1503,294368.27
1504,229035.73
1505,218658.26
1506,178900.48
1507,210639.3
1508,201881.2
1509,163067.0
1510,148686.75
1511,149972.21
1512,163347.89
1513,149982.17
1514,161897.55
1515,172229.44
1516,151080.7
1517,147780.75
1518,129061.99
1519,223541.57
1520,133848.75
1521,143770.75
1522,160322.5
1523,112775.05
1524,123886.5
1525,120129.48
1526,124352.0
1527,98670.12
1528,127516.0
1529,139262.84
1530,168300.0
1531,132063.81
1532,105134.5
1533,144260.02
1534,118591.49
1535,153626.34
1536,113899.18
1537,74185.83
1538,189536.57
1539,233893.56
1540,118883.4
1541,154222.73
1542,137058.42
1543,223896.18
1544,84161.34
1545,102234.0
1546,122715.93
1547,136278.34
1548,134076.2
1549,113761.54
1550,140150.66
1551,115061.25
1552,146099.8
1553,145095.72
1554,109945.21
1555,165106.52
1556,94491.8
1557,125985.29
1558,93608.93
1559,118673.1
1560,148119.42
1561,154448.96
1562,124399.6
1563,118685.0
1564,165119.81
1565,153764.12
1566,211924.46
1567,80882.0
1568,213355.7
1569,149113.58
1570,123463.43
1571,132898.9
1572,146316.08
1573,242620.86
1574,122781.51
1575,205540.47
1576,204925.86
1577,210518.14
1578,155336.42
1579,141170.3
1580,187653.35
1581,137781.25
1582,127460.5
1583,329866.51
1584,231757.92
1585,138606.02
1586,73055.72
1587,101267.36
1588,153588.55
1589,102040.79
1590,126924.8
1591,106869.83
1592,128589.89
1593,116455.71
1594,135106.26
1595,118521.2
1596,233526.55
1597,161359.83
1598,177422.92
1599,214171.52
1600,192673.73
1601,71344.99
1602,110082.5
1603,92857.5
1604,278179.96
1605,249983.55
1606,166341.8
1607,164680.94
1608,218327.33
1609,203366.11
1610,154353.37
1611,148389.39
1612,153015.14
1613,167298.94
1614,120667.44
